Categoria;Rubro;Subrubro;Marca;Nombre_Producto;Medida;Precio
Almacén;Encurtidos;Chiles;La Toscana;Encurtido Tradicional Chiles;200g;1594
Almacén;Encurtidos;Espárragos;La Toscana;Encurtido Tradicional Espárragos;200g;2883
Almacén;Encurtidos;Pepinito;Coto;Pepinillos en Vinagre Seleccionados;330g;1423
Almacén;Encurtidos;Pickles;Coto;Pepinillos en Vinagre Seleccionados;330g;5969
Almacén;Encurtidos;Tomates;La Toscana;Encurtido Tradicional Tomates;200g;1963
Almacén;Encurtidos;Hongos;La Toscana;Encurtido Tradicional Hongos;200g;3040
Almacén;Encurtidos;Chucrut;La Toscana;Encurtido Tradicional Chucrut;200g;4004
Almacén;Mermeladas y Dulces;Mermeladas;BC La Campagnola;Mermelada de Durazno Dietética Frasco;390g;2184
Almacén;Mermeladas y Dulces;Dulce;Arcor;Dulce de Membrillo Sólido Caja;500g;3896
Almacén;Mermeladas y Dulces;Miel;Alemany;Miel Pura de Abejas Natural Pote;250g;2548
Almacén;Mermeladas y Dulces;Jalea;Arcor;Dulce Tradicional Sabor Jalea;450g;2040
Almacén;Salsas y Puré de Tomate;Puré de Tomate;Arcor;Puré de Tomate Libre de Gluten Brick;520g;1937
Almacén;Salsas y Puré de Tomate;Pulpa de Tomate;Pomarola;Salsa Preparada Pomarola para Pastas;340g;2456
Almacén;Salsas y Puré de Tomate;Extracto Tomates;Pomarola;Salsa Preparada Pomarola para Pastas;340g;5283
Almacén;Salsas y Puré de Tomate;Salsas Preparadas;Pomarola;Salsa Preparada Pomarola para Pastas;340g;1639
Almacén;Salsas y Puré de Tomate;Tomate Triturado;La Campagnola;Tomates Peritas Enteros al Natural;400g;6127
Almacén;Salsas y Puré de Tomate;Tomate Al Natural;La Campagnola;Tomates Peritas Enteros al Natural;400g;1746
Almacén;Salsas y Puré de Tomate;Pesto;Pomarola;Salsa Preparada Pomarola para Pastas;340g;5188
Almacén;Aceites y Condimentos;Aceites;Natura;Aceite de Girasol Pureza Familiar;1.5L;3843
Almacén;Aceites y Condimentos;Condimentos;Dos Anclas;Aderezo Líquido Condimentos;500ml;2840
Almacén;Aceites y Condimentos;Vinagres;Casalta;Vinagre de Alcohol Blanco Selección;500ml;3308
Almacén;Alimento de Bebés y Niños;Alimentos para Bebé;Nestum;Papilla de Cereales Instantánea para Bebé;250g;2397
Almacén;Alimento de Bebés y Niños;Infusiones Infantiles;Nestum;Papilla de Cereales Instantánea para Bebé;250g;3142
Almacén;Arroz y Legumbres;Arroz;Gallo;Arroz Doble Carolina No Se Pasa Bolsa;1kg;1896
Almacén;Arroz y Legumbres;Legumbres;Coto;Lentejas Secas Importadas en Bolsa;500g;2118
Almacén;Especias;Especias;Alicante;Condimento Especias Seleccionadas Especias;25g;1753
Almacén;Especias;Semillas;Alicante;Condimento Especias Seleccionadas Semillas;25g;1606
Almacén;Pasta Seca, Lista y Rellenas;Pasta Lista y Rellena;Matarazzo;Fideos Secos Tallarines al Huevo Bolsa;500g;3148
Almacén;Pasta Seca, Lista y Rellenas;Pastas Secas;Matarazzo;Fideos Secos Tallarines al Huevo Bolsa;500g;3124
Almacén;Polvo para Postres y Reposteria;Premezcla Postres;Royal;Polvo para Preparar Gelatina Sabor Cereza;40g;6306
Almacén;Polvo para Postres y Reposteria;Repostería;Royal;Polvo para Preparar Gelatina Sabor Cereza;40g;6060
Almacén;Sopas, Caldos, Puré y Saborizantes;Mezcla Lista;Knorr;Caldo de Verdura en Cubitos Saborizador;12u;6384
Almacén;Sopas, Caldos, Puré y Saborizantes;Sopas y Saborizantes;Knorr;Caldo de Verdura en Cubitos Saborizador;12u;3198
Almacén;Rebozador y Pan Rallado;Pan Rallado;Preferido;Pan Rallado Clásico Crujiente Bolsa;1kg;3006
Almacén;Rebozador y Pan Rallado;Rebozador;Preferido;Pan Rallado Clásico Crujiente Bolsa;1kg;1822
Almacén;Leche en Polvo;Leche en Polvo;La Serenísima;Leche Entera en Polvo Fortificada Instantánea;400g;4118
Almacén;Suplementos Dietarios;Suplementos Dietarios;Redoxon;Vitamina C Efervescente Comprimidos;10u;2144
Almacén;Productos Orgánicos;Productos Orgánicos;Campo Claro;Arroz Integral Orgánico Orgánico;1kg;2073
Bebidas;Bebidas sin Alcohol;Aguas;Villa del Sur;Agua Mineral Natural Sin Gas Bidón;6L;3130
Bebidas;Bebidas sin Alcohol;Gaseosas;Coca-Cola;Gaseosa Cola Sabor Original Tradicional;2.25L;2460
Bebidas;Bebidas sin Alcohol;Jugos;Cepita;Jugo de Naranja con Pulpa Del Valle;1L;2319
Bebidas;Bebidas sin Alcohol;Amargos;Baggio;Refresco Saborizado Amargos;1.5L;1974
Bebidas;Bebidas sin Alcohol;Energizantes;Red Bull;Bebida Energizante Original Lata;250ml;2526
Bebidas;Bebidas sin Alcohol;Bebidas Isotónicas;Gatorade;Bebida Isotónica Sabor Manzana Botella;500ml;2951
Bebidas;Bebidas sin Alcohol;Bebida Herbal;Baggio;Refresco Saborizado Bebida Herbal;1.5L;3057
Bebidas;Bebidas sin Alcohol;Granadinas;Baggio;Refresco Saborizado Granadinas;1.5L;1912
Bebidas;Bebidas sin Alcohol;Sidras;Baggio;Refresco Saborizado Sidras;1.5L;2380
Bebidas;Bebidas sin Alcohol;Malta;Baggio;Refresco Saborizado Malta;1.5L;2162
Bebidas;Bebidas sin Alcohol;Refrescos;Baggio;Refresco Saborizado Refrescos;1.5L;2956
Bebidas;Bebidas con Alcohol;Aperitivos;Fernet Branca;Aperitivo de Hierbas Amargas Tradicional;750ml;10711
Bebidas;Bebidas con Alcohol;Cerveza;Stella Artois;Cerveza Rubia Premium Importada Lata;473ml;4582
Bebidas;Bebidas con Alcohol;Champagne y Espumantes;Chandon;Champagne Extra Brut Espumante Botella;750ml;20637
Bebidas;Bebidas con Alcohol;Vinos;Rutini;Vino Tinto Malbec Mendoza Roble;750ml;8235
Bebidas;Bebidas con Alcohol;Bebidas Blancas y Destiladas;Smirnoff;Bebida Destilada Blanca Bebidas Blancas y Destiladas;750ml;48443
Bebidas;Bebidas con Alcohol;Whiskys;Smirnoff;Bebida Destilada Blanca Whiskys;750ml;18465
Bebidas;Bebidas con Alcohol;Licores;Smirnoff;Bebida Destilada Blanca Licores;750ml;10748
Bebidas;Bebidas con Alcohol;Habanos;Smirnoff;Bebida Destilada Blanca Habanos;750ml;53877
Frescos;Lácteos;Cremas;Tregar;Crema de Leche para Cocinar Sachet;200g;2187
Frescos;Lácteos;Leches;La Serenísima;Leche Entera Ultra Pasteurizada Sachet;1L;1727
Frescos;Lácteos;Yogures;Yogurísimo;Yogur Entero Frutilla con Cereales Firme;190g;3017
Frescos;Lácteos;Dulce de Leche;La Serenísima;Leche Entera Ultra Pasteurizada Sachet;1L;4121
Frescos;Lácteos;Mantecas y Margarinas;Milkaut;Manteca de Primera Calidad Pan;200g;4159
Frescos;Lácteos;Levaduras;Tregar;Producto Lácteo Levaduras;200g;3095
Frescos;Lácteos;Grasas Animales;Tregar;Producto Lácteo Grasas Animales;200g;2667
Frescos;Lácteos;Ricottas;Tregar;Producto Lácteo Ricottas;200g;2458
Frescos;Lácteos;Postres;Tregar;Producto Lácteo Postres;200g;1928
Frescos;Lácteos;Alimentos Vegetales;Tregar;Producto Lácteo Alimentos Vegetales;200g;2111
Frescos;Lácteos;Salsas y Aderezos;Tregar;Producto Lácteo Salsas y Aderezos;200g;1442
Frescos;Lácteos;Hummus;Tregar;Producto Lácteo Hummus;200g;1541
Frescos;Lácteos;Alimento Lácteo;Tregar;Producto Lácteo Alimento Lácteo;200g;3875
Frescos;Fiambres;Fiambres;Paladini;Jamón Cocido Feteado Premium;150g;12671
Frescos;Fiambres;Salchichas y Pates;Vieníssima;Salchichas de Copetín de Carne Vacuna;6u;15216
Frescos;Quesos;Quesos Veganos;La Paulina;Queso Quesos Veganos Seleccionado;500g;5317
Frescos;Quesos;Quesos Especiales;La Paulina;Queso Quesos Especiales Seleccionado;500g;9418
Frescos;Quesos;Queso Rallado;La Paulina;Queso Rallado Reggianito Hebras Sachet;120g;4289
Frescos;Quesos;Queso Crema y Untables;Casancrem;Queso Crema Clásico Pote Familiar;480g;2892
Frescos;Quesos;Quesos Duros;La Paulina;Queso Quesos Duros Seleccionado;500g;6292
Frescos;Quesos;Dulces;La Paulina;Queso Dulces Seleccionado;500g;10671
Frescos;Quesos;Queso Fundido;La Paulina;Queso Queso Fundido Seleccionado;500g;2850
Frescos;Quesos;Queso Semiduro;La Paulina;Queso Queso Semiduro Seleccionado;500g;8166
Frescos;Quesos;Quesos Blandos;La Serenísima;Queso Cremón Doble Crema por Kilo;1kg;7145
Frescos;Quesos;Tofu;La Paulina;Queso Tofu Seleccionado;500g;3994
Frescos;Carniceria;Carnes;Coto;Corte Vacuno de Carnes Premium;1kg;9764
Frescos;Carniceria;Carnes Elaboradas;Coto;Corte Vacuno de Carnes Elaboradas Premium;1kg;15890
Frescos;Carniceria;Embutidos;Coto;Corte Vacuno de Embutidos Premium;1kg;13682
Frescos;Carniceria;Granja;Coto;Corte Vacuno de Granja Premium;1kg;9185
Frescos;Aves;Pollo Entero Fresco;Coto;Pollo de Granja Fresco Pollo Entero Fresco;1kg;12901
Frescos;Aves;Pollo Trozado Fresco;Coto;Pollo de Granja Fresco Pollo Trozado Fresco;1kg;8638
Frescos;Aves;Pollo Entero Congelado;Coto;Pollo de Granja Fresco Pollo Entero Congelado;1kg;4348
Frescos;Aves;Pollo Trozado Congelado;Coto;Pollo de Granja Fresco Pollo Trozado Congelado;1kg;10216
Frescos;Pastas Frescas y Tapas;Fideos y Ñoquis;Villa d'Agri;Ravioles de Ricotta y Espinaca Frescos;500g;6066
Frescos;Pastas Frescas y Tapas;Pastas Rellenas;Villa d'Agri;Ravioles de Ricotta y Espinaca Frescos;500g;3483
Frescos;Pastas Frescas y Tapas;Tapas para Pascualina y Empanadas;La Salteña;Tapas para Empanadas de Hojaldre x 12u;300g;5414
Frescos;Pastas Frescas y Tapas;Masas Preparadas;Villa d'Agri;Ravioles de Ricotta y Espinaca Frescos;500g;3295
Frescos;Pastas Frescas y Tapas;Bollos y Tapas;La Salteña;Tapas para Empanadas de Hojaldre x 12u;300g;7544
Frescos;Comidas Elaboradas;Pizzas, Tartas y Empanadas;Coto;Fresco Elaborado Pizzas, Tartas y Empanadas;1kg;5338
Frescos;Comidas Elaboradas;Platos y Guarniciones;Coto;Fresco Elaborado Platos y Guarniciones;1kg;5880
Frescos;Comidas Elaboradas;Listos para Congelar;Coto;Fresco Elaborado Listos para Congelar;1kg;2623
Frescos;Comidas Elaboradas;X Unidad - Porción;Coto;Fresco Elaborado X Unidad - Porción;1kg;5297
Frescos;Comidas Elaboradas;X Kg;Coto;Fresco Elaborado X Kg;1kg;2405
Frescos;Frutas y Verduras;Frutas;Coto;Frutas de Temporada Seleccionada;1kg;1783
Frescos;Frutas y Verduras;Verduras;Coto;Verduras de Temporada Seleccionada;1kg;1574
Frescos;Frutas y Verduras;Productos Orgánicos;Coto;Productos Orgánicos de Temporada Seleccionada;1kg;1295
Frescos;Frutas y Verduras;Frutas Secas y Desecadas;Coto;Frutas Secas y Desecadas de Temporada Seleccionada;1kg;1210
Frescos;Frutas y Verduras;Champignones;Coto;Champignones de Temporada Seleccionada;1kg;3400
Frescos;Frutas y Verduras;Cereales y Harinas;Coto;Cereales y Harinas de Temporada Seleccionada;1kg;1277
Frescos;Frutas y Verduras;Hierbas Aromáticas;Coto;Hierbas Aromáticas de Temporada Seleccionada;1kg;1236
Frescos;Frutas y Verduras;Legumbres;Coto;Legumbres de Temporada Seleccionada;1kg;1683
Frescos;Pescaderia;Entero Eviscerado;Coto;Pescado Fresco Filet de Entero Eviscerado;1kg;7258
Frescos;Pescaderia;Filete;Coto;Pescado Fresco Filet de Filete;1kg;13254
Frescos;Pescaderia;Semiconserva;Coto;Pescado Fresco Filet de Semiconserva;1kg;8670
Frescos;Huevos;Huevos Blanco;Coto;Huevos Huevos Blanco Maple Grande;30u;8140
Frescos;Huevos;Huevos Color;Coto;Huevos Huevos Color Maple Grande;30u;6307
Congelados;Pescaderia;Mariscos;Swift;Congelado Listo Mariscos;500g;7521
Congelados;Pescaderia;Pescado de Mar;Swift;Congelado Listo Pescado de Mar;500g;8862
Congelados;Pescaderia;Rebozados;Swift;Congelado Listo Rebozados;500g;5791
Congelados;Pescaderia;Salmón y Trucha;Swift;Congelado Listo Salmón y Trucha;500g;10356
Congelados;Pescaderia;Pescado de Rio;Swift;Congelado Listo Pescado de Rio;500g;8787
Congelados;Pescaderia;Varitas de Surimi;Swift;Congelado Listo Varitas de Surimi;500g;14795
Congelados;Pescaderia;Especiales;Swift;Congelado Listo Especiales;500g;6645
Congelados;Nuggets, Patitas y Bocaditos;Nuggets;Granja del Sol;Bocaditos de Pollo Crujientes Nuggets;400g;4196
Congelados;Nuggets, Patitas y Bocaditos;Patitas;Granja del Sol;Bocaditos de Pollo Crujientes Nuggets;400g;6441
Congelados;Nuggets, Patitas y Bocaditos;Bocaditos y Formitas;Granja del Sol;Bocaditos de Pollo Crujientes Nuggets;400g;2555
Congelados;Nuggets, Patitas y Bocaditos;Bastones de Mozzarella;Granja del Sol;Bocaditos de Pollo Crujientes Nuggets;400g;3276
Congelados;Nuggets, Patitas y Bocaditos;Aros de Cebolla;Granja del Sol;Bocaditos de Pollo Crujientes Nuggets;400g;4716
Congelados;Nuggets, Patitas y Bocaditos;Waffles;Granja del Sol;Bocaditos de Pollo Crujientes Nuggets;400g;5285
Congelados;Hamburguesas y Milanesas;Hamburguesas y Medallones;Paty;Hamburguesas de Carne Vacuna Clásica Caja;4u;2706
Congelados;Hamburguesas y Milanesas;Milanesas y Supremas;Granja del Sol;Milanesas de Soja Congeladas Caja;4u;3002
Congelados;Papas Congeladas / Fritas;Papas Bastón;McCain;Papas Bastón Congeladas Tradicional;1kg;4079
Congelados;Papas Congeladas / Fritas;Papas Noisettes;McCain;Papas Bastón Congeladas Tradicional;1kg;4626
Congelados;Papas Congeladas / Fritas;Papas con Formas;McCain;Papas Bastón Congeladas Tradicional;1kg;3606
Congelados;Papas Congeladas / Fritas;Papas Estilo Casero;McCain;Papas Bastón Congeladas Tradicional;1kg;2283
Congelados;Papas Congeladas / Fritas;Papas para Horno;McCain;Papas Bastón Congeladas Tradicional;1kg;4535
Congelados;Papas Congeladas / Fritas;Papas Golden Longs;McCain;Papas Bastón Congeladas Tradicional;1kg;2693
Congelados;Papas Congeladas / Fritas;Papas Rústicas;McCain;Papas Bastón Congeladas Tradicional;1kg;4494
Congelados;Papas Congeladas / Fritas;Papas Crinkle;McCain;Papas Bastón Congeladas Tradicional;1kg;1821
Congelados;Helados y Postres;Postres Helados;Frigor;Balde de Helado sabor Dulce de Leche y Crema;1L;8352
Congelados;Helados y Postres;Helados en Pote;Frigor;Balde de Helado sabor Dulce de Leche y Crema;1L;5238
Congelados;Helados y Postres;Helados en Palito;Frigor;Balde de Helado sabor Dulce de Leche y Crema;1L;4732
Congelados;Helados y Postres;Yogur Helado;Frigor;Balde de Helado sabor Dulce de Leche y Crema;1L;4857
Congelados;Helados y Postres;Volcán;Frigor;Balde de Helado sabor Dulce de Leche y Crema;1L;4901
Congelados;Helados y Postres;Waffles;Frigor;Balde de Helado sabor Dulce de Leche y Crema;1L;14361
Congelados;Comidas Congeladas;Pizzas y Pizzetas;Swift;Congelado Listo Pizzas y Pizzetas;500g;4827
Congelados;Comidas Congeladas;Pastas Congeladas;Swift;Congelado Listo Pastas Congeladas;500g;5551
Congelados;Comidas Congeladas;Panificados;Swift;Congelado Listo Panificados;500g;5419
Congelados;Comidas Congeladas;Empanadas y Tartas;Swift;Congelado Listo Empanadas y Tartas;500g;6264
Congelados;Comidas Congeladas;Rellenos;Swift;Congelado Listo Rellenos;500g;4732
Congelados;Comidas Congeladas;Salchichas de Soja;Swift;Congelado Listo Salchichas de Soja;500g;2509
Congelados;Comidas Congeladas;Burritos;Swift;Congelado Listo Burritos;500g;4722
Congelados;Comidas Congeladas;Tortilla de Papas;Swift;Congelado Listo Tortilla de Papas;500g;4301
Congelados;Comidas Congeladas;Arrollados;Swift;Congelado Listo Arrollados;500g;6989
Congelados;Comidas Congeladas;Salchichas;Swift;Congelado Listo Salchichas;500g;4966
Congelados;Vegetales Congelados;Acelga;Green Life;Espinaca Picada Congelada Súper Práctica;400g;3325
Congelados;Vegetales Congelados;Cebollas;Green Life;Espinaca Picada Congelada Súper Práctica;400g;7519
Congelados;Vegetales Congelados;Vegetales para Saltear;Green Life;Espinaca Picada Congelada Súper Práctica;400g;3808
Congelados;Vegetales Congelados;Espinacas;Green Life;Espinaca Picada Congelada Súper Práctica;400g;5779
Congelados;Vegetales Congelados;Chauchas;Green Life;Espinaca Picada Congelada Súper Práctica;400g;7658
Congelados;Vegetales Congelados;Brocoli;Green Life;Espinaca Picada Congelada Súper Práctica;400g;5656
Congelados;Vegetales Congelados;Choclos;Green Life;Espinaca Picada Congelada Súper Práctica;400g;6927
Congelados;Vegetales Congelados;Ensalada Primavera;Green Life;Espinaca Picada Congelada Súper Práctica;400g;4374
Congelados;Vegetales Congelados;Morrón;Green Life;Espinaca Picada Congelada Súper Práctica;400g;7706
Congelados;Vegetales Congelados;Arvejas;Green Life;Espinaca Picada Congelada Súper Práctica;400g;4566
Congelados;Frutas Congeladas;Arándanos;Green Life;Arándanos Enteros Congelados Bolsa;300g;2538
Congelados;Frutas Congeladas;Cerezas;Green Life;Arándanos Enteros Congelados Bolsa;300g;6423
Congelados;Frutas Congeladas;Frutillas;Green Life;Arándanos Enteros Congelados Bolsa;300g;3026
Congelados;Frutas Congeladas;Frambuesas;Green Life;Arándanos Enteros Congelados Bolsa;300g;5202
Congelados;Frutas Congeladas;Mango;Green Life;Arándanos Enteros Congelados Bolsa;300g;6807
Congelados;Frutas Congeladas;Moras;Green Life;Arándanos Enteros Congelados Bolsa;300g;5735
Congelados;Frutas Congeladas;Mix de Frutas;Green Life;Arándanos Enteros Congelados Bolsa;300g;7199
Congelados;Frutas Congeladas;Palta;Green Life;Arándanos Enteros Congelados Bolsa;300g;6923
Congelados;Frutas Congeladas;Maracuya;Green Life;Arándanos Enteros Congelados Bolsa;300g;2311
