supermercado,provincia,localidad,direccion,latitude,longitude
Día,Buenos Aires,Ezpeleta,Cl. San Martín 5355,-34.7430666,-58.2429185
Día,Capital Federal,Villa Ortúzar,Combatiente de Malvinas 3015,-34.581302,-58.4682453
Día,Capital Federal,Palermo,Migueletes 752,-34.5668198,-58.4336238
Día,Entre Ríos,Colonia Avellaneda,Tte. Miguel Giménez 2553,-31.7636914,-60.412117
Día,Capital Federal,Palermo,Av. Luis María Campos 1231,-34.5650257,-58.4405286
Día,Buenos Aires,Escobar,Tapia de Cruz 223,-34.3433837,-58.7902908
Día,Capital Federal,Villa Pueyrredón,Av. Albarellos 2666,-34.5761173,-58.5071879
Día,Capital Federal,Villa General Mitre,Gavilán 1794,-34.6101481,-58.470482
Día,Capital Federal,Agronomía,Av. Nazca 4044,-34.5960026,-58.4936093
Día,Buenos Aires,Glew,Cl. Patria y Vías F. Gral. Roca,-34.888445,-58.3845646
Día,Entre Ríos,Paraná,Blas Parera 714,-31.7475125,-60.4952397
Día,Buenos Aires,Carlos Spegazzini,Cl. 25 de Mayo 151,-34.934566,-58.5747206
Día,Buenos Aires,San Martín,Belgrano 3162,-38.5548743,-58.7440446
Día,Buenos Aires,9 de Abril,Cl. Oliver 958,-34.7801382,-58.4786724
Día,Capital Federal,Villa Real,Beiró 5678,-34.6170917,-58.5289329
Día,Capital Federal,San Nicolás,Av. Rivadavia 674,-34.6081333,-58.3759833
Día,Capital Federal,Núñez,Crisólogo Larralde 2287,-34.5481512,-58.466848
Día,Santa Fe,Santa Fe,Salta 2817,-32.9353168,-60.6600992
Día,Capital Federal,Villa Santa Rita,Nazca 2063,-34.6106889,-58.4818192
Día,Capital Federal,Villa Crespo,Scalabrini Ortiz 751,-34.5968455,-58.4338139
Día,Entre Ríos,Concepción del Uruguay,Combatiente de Malvinas 82,-32.4851849,-58.2320232
Día,Capital Federal,Villa del Parque,Nogoyá 3240,-34.6042059,-58.4937964
Día,Buenos Aires,Villa Tesei,Pedro Díaz esq. El Zorzal 1098,-34.6207685,-58.638432
Día,Capital Federal,Mataderos,Cl. Lisandro de la Torre 1151,-34.6553825,-58.5089195
Día,Capital Federal,Villa Lugano,Av. Piedrabuena 3941,-34.6766149,-58.4771849
Día,Salta,Cerrillos,General Güemes 370,-24.904973,-65.4870377
Día,Buenos Aires,Ezpeleta,Av. Centenario 5270,-34.7458429,-58.2418519
Día,Buenos Aires,Florencio Varela,Camino General Belgrano Rp 14 6260,-34.8044384,-58.2783224
Día,Buenos Aires,Morón,Independencia 173,-34.6467263,-58.6183913
Día,Capital Federal,Flores,Avenida Juan Bautista Alberdi 2057,-34.6297795,-58.4571761
Día,Capital Federal,Retiro,Tucumán 439,-34.6009858,-58.3767959
Día,Buenos Aires,Isidro Casanova,Cl. Cristiania 5843,-34.6958332,-58.6036835
Día,Capital Federal,San Nicolás,Av. Córdoba 1365,-34.5993486,-58.3875069
Día,Capital Federal,San Cristóbal,Av. San Juan 1932,-34.6229559,-58.3932163
Día,Entre Ríos,Villa San José,Sarmiento 1665,-32.207643,-58.2095766
Día,Salta,Salta,Miguel de Azcuénaga 2295,-24.8049616,-65.4317079
Día,Capital Federal,Parque Patricios,Av. Brasil 2450,-34.6309794,-58.3984218
Día,Capital Federal,Villa Pueyrredón,Av. de los Constituyentes 6047,-34.5717143,-58.5057946
Día,Buenos Aires,Villa Ballester,Moreno 1533,-34.541353,-58.5669167
Día,Capital Federal,San Cristóbal,Av. Chiclana 2901,-34.6287785,-58.4053266
Día,Capital Federal,Vélez Sarsfield,Segurola 1178,-34.6251153,-58.4936135
Día,Capital Federal,San Telmo,Defensa 748,-34.6165962,-58.3716103
Día,Capital Federal,Caballito,Hidalgo 860,-34.6089859,-58.4415252
Día,Buenos Aires,América,San Martín 156,-35.4878205,-62.975216
Día,Capital Federal,Villa Crespo,Av. Corrientes 4938,-34.6010961,-58.4354958
Día,Capital Federal,Núñez,Avenida Cabildo 3460,-34.5512751,-58.4665767
Día,Capital Federal,Caballito,Rojas 243,-34.6178041,-58.4425028
Día,Capital Federal,Villa del Parque,Av. Nazca 2542,-34.6064737,-58.4857156
Día,Entre Ríos,Paraná,Alem 224,-31.7357181,-60.5282994
Día,Buenos Aires,Aldo Bonzi,Cl. José Alico 969,-34.7076205,-58.5178531
Día,Buenos Aires,Chivilcoy,Av. Ceballos 172,-34.8940866,-60.0228257
Día,Buenos Aires,Manuel Alberti,Hipólito Yrigoyen 465,-34.4621897,-58.7768341
Día,Buenos Aires,José Mármol,Cl. Bynnon 1704,-34.7935327,-58.3815257
Día,Buenos Aires,Loma Hermosa,Av. Eva Perón 9735,-34.5627781,-58.6039158
Día,Buenos Aires,Merlo,Hipólito Yrigoyen 357,-36.8891868,-60.3146744
Día,Entre Ríos,María Grande,Av. Argentina 787,-31.6616639,-59.9095831
Día,Capital Federal,Colegiales,Av. Lacroze 3413,-34.5799807,-58.4507584
Día,Capital Federal,Recoleta,Charcas 3259,-34.5920312,-58.4117861
Día,Capital Federal,Mataderos,Av. Cnel. M. Larrazábal 919,-34.6578631,-58.5017617
Día,Capital Federal,Puerto Madero,Juana Manso 530,-34.6036896,-58.3633586
Día,Capital Federal,San Cristóbal,La Rioja 916,-34.6210709,-58.4074634
Día,Buenos Aires,Villa Ballester,Artigas y Campichuelo 6015,-34.5509077,-58.5559691
Día,Buenos Aires,Lobos,Cl. Pte. Perón 345,-35.1856322,-59.0978393
Día,Capital Federal,Monte Castro,Sanabria 2469,-34.6135062,-58.5041413
Día,Buenos Aires,Berazategui,Cl. Calle N°14 3880,-34.7875622,-58.2532074
Día,Capital Federal,Villa Pueyrredón,Nazca 5832,-34.5773585,-58.5103787
Día,Salta,Salta,Vicente López 901,-24.7788587,-65.4046317
Día,Capital Federal,Villa Riachuelo,Fernández de la Cruz 6154,-34.6852517,-58.4725847
Día,Buenos Aires,Lomas de Zamora,Av. Eva Perón 950,-34.7735218,-58.3851657
Día,Buenos Aires,General Villegas,Pueyrredón 351,-35.033075,-63.0121087
Día,Capital Federal,Monserrat,Perú 486,-34.6136078,-58.3745482
Día,Buenos Aires,General Pinto,Adolfo Alsina 540,-34.764855,-61.892773
Día,Salta,Salta,Mitre 246,-24.7870226,-65.4107302
Día,Capital Federal,Monserrat,Hipólito Yrigoyen 1512,-34.6101058,-58.3877633
Día,Capital Federal,Boedo,La Plata 1570,-34.6332498,-58.4251605
Día,Capital Federal,Palermo,El Salvador 5675,-34.5825763,-58.4360335
Día,Corrientes,Esquina,Mancini 415,-30.0192951,-59.5330369
Día,Entre Ríos,Chajarí,Alem 1960,-30.7611565,-57.9964453
Día,Buenos Aires,Florencio Varela,Cl. Luján esq. Olavarría 2002,-34.8044384,-58.2783224
Día,Capital Federal,CABA,Rivadavia 10872,-34.6392889,-58.5169704
Día,Capital Federal,Villa Pueyrredón,Av. de los Constituyentes 4666,-34.5812194,-58.4931959
Día,Capital Federal,Almagro,Boedo 250,-34.614866,-58.4170124
Día,Capital Federal,Colegiales,Cap. Gral. Ramón Freire 954,-34.5730241,-58.4481908
Día,Capital Federal,Nueva Pompeya,Corrales 1669,-34.6518862,-58.4267681
Día,Buenos Aires,Del Viso,Valentín Gómez y Madero,-34.4534551,-58.7965583
Día,Capital Federal,Belgrano,José Hernández 2469,-34.5659347,-58.4541968
Día,Buenos Aires,José León Suárez,Pacífico Rodríguez 7270,-34.534488,-58.5762177
Día,Jujuy,Palpalá,Av. República de la India esq. Martijena,-24.2554935,-65.2093985
Día,Capital Federal,Flores,Gavilán 1020,-34.617821,-58.4650832
Día,Buenos Aires,Lanús,Bustamante 678,-34.6908398,-58.3778879
Día,Capital Federal,Chacarita,Av. Álvarez Thomas 849,-34.5793342,-58.4540636
Día,Capital Federal,Paternal,Av. San Martín 2687,-34.6029364,-58.4640305
Día,Capital Federal,Palermo,Arce 730,-34.5686491,-58.4349224
Día,Capital Federal,Recoleta,Arenales 2017,-34.5944851,-58.3962421
Día,Buenos Aires,Morón,Aguero esquina Balcarce 935,-34.6510527,-58.6217416
Día,Capital Federal,Villa Crespo,Av. Juan B. Justo 2540,-34.6033271,-58.4566629
Día,Capital Federal,Nueva Pompeya,Amancio Alcorta 3889,-34.6552361,-58.4140049
Día,Entre Ríos,Paraná,Av. Don Bosco 1482,-31.7362811,-60.4953776
Día,Entre Ríos,Paraná,Av. de las Américas 2631,-31.7594866,-60.5274091
Día,Entre Ríos,Seguí,Urquiza 798,-31.9554117,-60.1259128
Día,Buenos Aires,Villa Rosa,Ruta 25 e/ A. Thomas y Boedo 4150,-34.4162586,-58.8721314
Día,Capital Federal,Parque Patricios,Avenida Chiclana 3230,-34.6336451,-58.4100212
Día,Capital Federal,Barracas,Av. Montes de Oca 1438,-34.6289421,-58.3777415
Día,Buenos Aires,Billinghurst,Primera Junta 5800,-34.5743287,-58.5744341
Día,Capital Federal,Liniers,Patrón 6273,-34.6466489,-58.5139933
Día,Capital Federal,Villa Devoto,San Martín 6948,-34.5916201,-58.5119631
Día,Capital Federal,Caballito,Av. San Martín 1372,-34.6072439,-58.4484649
Día,Capital Federal,Villa Luro,Av. Álvarez Jonte 5730,-34.6268057,-58.5144911
Día,Capital Federal,Colegiales,Av. Federico Lacroze 3178,-34.5777664,-58.4491525
Día,Capital Federal,Balvanera,Dr. Tomás M. de Anchorena 541,-34.6092155,-58.4031396
Día,Salta,Salta,José Contreras esq. Alfredo Palacios,-24.7892946,-65.4103194
Día,Entre Ríos,Crespo,Independencia 1660,-32.0362264,-60.3087734
Día,Salta,Salta,Mitre 960,-24.7779021,-65.4098064
Día,Capital Federal,Palermo,Av. Medrano 1235,-34.5950402,-58.4196043
Día,Capital Federal,Nueva Pompeya,Fernández de la Cruz 1030,-34.6445817,-58.4246941
Día,Corrientes,Corrientes,Libertad 5301,-27.4654046,-58.7851464
Día,Capital Federal,Mataderos,Av. de los Corrales 7325,-34.6679517,-58.506873
Día,Capital Federal,Constitución,Av. Entre Ríos 2084,-34.6324047,-58.390422
Día,Buenos Aires,San Miguel,Ángel Delía 1621,-34.543006,-58.711966
Día,Buenos Aires,Villa Soldati,Av. Fernández de la Cruz 2961,-34.65909,-58.4423757
Día,Capital Federal,Balvanera,Av. Rivadavia 2089,-34.6093532,-58.3960087
Día,Capital Federal,Flores,Av. Juan B. Justo 6252,-34.6290748,-58.4634771
Día,Buenos Aires,Burzaco,Cl. E. Burzaco 682,-34.8258956,-58.3950536
Día,Capital Federal,Caballito,Avenida Juan Bautista Alberdi 1550,-34.6265604,-58.4498728
Día,Capital Federal,Villa General Mitre,Av. Álvarez Jonte 2066,-34.6045992,-58.4728722
Día,Buenos Aires,San Nicolás de los Arroyos,Pellegrini 328,-33.3346053,-60.2187571
Día,Capital Federal,Palermo,Juan Francisco Seguí 4668,-34.5734396,-58.4221558
Día,Capital Federal,Villa Lugano,Av. Eva Perón 5462,-34.6611484,-58.483664
Día,Entre Ríos,Federal,Coronel Antelo 660,-30.9566683,-58.780605
Día,Capital Federal,Palermo,Av. Santa Fe 4550,-34.5791479,-58.4249952
Día,Capital Federal,Belgrano,Av. del Libertador 6761,-34.5498671,-58.4533657
Día,Buenos Aires,Las Flores,Av. San Martín entre G. Roca y Sarmiento 827,-36.0142754,-59.0998685
Día,Entre Ríos,Victoria,9 de Julio y Perón 150,-34.4541012,-58.5407091
Día,Buenos Aires,Almirante Brown,Cl. Salta 957,-34.7676369,-58.3568304
Día,Capital Federal,Villa Urquiza,Echeverría 5130,-34.5796782,-58.4822277
Día,Entre Ríos,Villa Elisa,J. J. Castelli 1444,-32.1631324,-58.4004902
Día,Buenos Aires,Lomas del Mirador,Cl. Eva Perón 297,-34.663145,-58.5288492
Día,Capital Federal,Recoleta,Marcelo T. de Alvear 1459,-34.5970385,-58.387766
Día,Capital Federal,Balvanera,Junín 638,-34.6017269,-58.3971311
Día,Capital Federal,CABA,Lafayette 638,-34.6425248,-58.3912718
Día,Buenos Aires,Tigre,Av. Cazón 1270,-34.4347985,-58.5670451
Día,Capital Federal,Mataderos,Av. Alberdi 6691,-34.6571095,-58.5095602
Día,Buenos Aires,Monte Grande,Cl. Vicente López 473,-34.8262423,-58.4623626
Día,Entre Ríos,Ramírez,Triunvirato 267,-32.1730052,-60.2003862
Día,Buenos Aires,Dolores,Bs. As. esq. Pueyrredón 400,-36.3153624,-57.6755399
Día,Capital Federal,Villa Lugano,Barrio Olímpico (Escalada 4350),-34.6766149,-58.4771849
Día,Capital Federal,Flores,Av. Rivadavia 7370,-34.6307237,-58.4689718
Día,Entre Ríos,Concordia,Alvear 954,-31.3900501,-58.0246344
Día,Capital Federal,Flores,Av. Gaona 2416,-34.6145371,-58.4608407
Día,Capital Federal,San Cristóbal,Av. Independencia 2262/78,-34.6182827,-58.3945945
Día,Capital Federal,Villa Urquiza,Av. Monroe 4880,-34.5696988,-58.4784848
Día,Buenos Aires,Paso del Rey,Av. Zapiola 529,-34.6511828,-58.7481829
Día,Capital Federal,Recoleta,Austria 2355,-34.5862212,-58.4014514
Día,Capital Federal,Flores,Av. Boyacá 37,-34.6261706,-58.4568843
Día,Buenos Aires,La Plata,Av. 66 2232,-34.9172394,-57.9252937
Día,Capital Federal,Villa Santa Rita,Emilio Lamarca 1965,-34.6142521,-58.4925398
Día,Capital Federal,Almagro,Av. Córdoba 3810/12/14,-34.5976817,-58.4229325
Día,Capital Federal,Flores,Varela 605/609,-34.6337558,-58.4637109
Día,Capital Federal,San Cristóbal,Humberto Primo 2346,-34.6220371,-58.3987878
Día,Capital Federal,Recoleta,Avenida Callao 1337,-34.5934769,-58.3928402
Día,Capital Federal,Retiro,Libertad 1271,-34.5991355,-58.3840491
Día,Entre Ríos,Concordia,San Juan 784,-31.3951194,-58.0132098
Día,Entre Ríos,Colón,Pte. Perón 378,-32.2182804,-58.1356171
Día,Capital Federal,CABA,Traful 3838,-34.6516764,-58.4139186
Día,Entre Ríos,Paraná,San Luis 448,-31.730292,-60.5199232
Día,Buenos Aires,Villa Lynch,1° de Mayo 6045,-34.5914199,-58.5247675
Día,Buenos Aires,Villa Madero,Av. Crovara 969,-34.6884434,-58.4999411
Día,Capital Federal,La Boca,Gral. Gregorio Aráoz de Lamadrid 728,-34.6373464,-58.3593254
Día,Buenos Aires,Avellaneda,Belgrano 4222,-34.6913515,-58.3381785
Día,Buenos Aires,Mercedes,Alem entre Pellegrini y Mitre 676,-34.6506717,-59.4317202
Día,Buenos Aires,Coronel Brandsen,Cl. Ituzaingó y Paso,-35.1679696,-58.2319674
Día,Capital Federal,Villa Real,Av. Lope de Vega 2839,-34.6159594,-58.5223737
Día,Buenos Aires,Grand Bourg,El Callao 1242,-34.5018958,-58.7142528
Día,Buenos Aires,General Pacheco,Hipólito Yrigoyen 543,-34.4577941,-58.629913
Día,Capital Federal,Villa Luro,Juan B. Alberdi 4730,-34.6362602,-58.5020915
Día,Buenos Aires,La Plata,Av. 7 423,-34.9078018,-57.9594187
Día,Entre Ríos,Gualeguaychú,Rivadavia 590,-33.0069637,-58.5116466
Día,Capital Federal,Constitución,San José 1818,-34.6302337,-58.3854499
Día,Capital Federal,Villa del Parque,Av. Álvarez Jonte 2201,-34.6141112,-58.4950506
Día,Buenos Aires,Lomas de Zamora,Cl. Cosquín 2724,-34.715213,-58.4528618
Día,Capital Federal,Villa Crespo,Leopoldo Marechal 1247/1249,-34.6032089,-58.440941
Día,Capital Federal,Agronomía,Av. de los Constituyentes 3836,-34.586707,-58.4871549
Día,Córdoba,Villa María,Leandro N. Alem 429,-32.4077978,-63.2483197
Día,Capital Federal,Monte Castro,Álvarez Jonte 4471,-34.6231399,-58.5103365
Día,Entre Ríos,Federación,José Ignacio Benítez 256,-30.9831618,-57.922639
Día,Capital Federal,Flores,Ramón Falcón 2452,-34.6303461,-58.4627756
Día,Buenos Aires,San Andrés de Giles,Av. Rivadavia 569,-34.4377542,-59.2615967
Día,Capital Federal,Palermo,Av. Córdoba 4667,-34.5936809,-58.4306968
Día,Buenos Aires,Ituzaingó,Cnl. C. F. de Brandsen 1957,-34.6583293,-58.6671441
Día,Buenos Aires,Longchamps,Cl. Ricardo J. Davel 1275,-34.85803,-58.3881462
Día,Capital Federal,Balvanera,Tte. Gral. Juan D. Perón 1901,-34.6092155,-58.4031396
Día,Buenos Aires,Tres Arroyos,25 de Mayo 302,-38.3814875,-60.2754424
Día,Buenos Aires,Boulogne,Bernardo Ader 775,-34.5189834,-58.5604573
Día,Buenos Aires,Villa Bosch,José María Bosch 1336,-34.592512,-58.5713177
Día,Capital Federal,Balvanera,La Rioja 465,-34.6160155,-58.4083251
Día,Capital Federal,Parque Avellaneda,Eva Perón 4139,-34.650976,-58.4714097
Día,Capital Federal,Palermo,Av. Federico Lacroze 2178,-34.5678406,-58.4426143
Día,Capital Federal,Villa del Parque,Av. San Martín 4162,-34.5991299,-58.4804303
Día,Buenos Aires,Lanús,Cl. 29 de Septiembre 1866,-34.7078708,-58.3904917
Día,Salta,Metán,José Ignacio Sierra 126,-25.4984893,-64.9704684
Día,Capital Federal,Monte Castro,Av. Segurola 1720,-34.6178196,-58.502686
Día,Entre Ríos,Paraná,Ramírez 2244,-31.7387662,-60.5173916
Día,Córdoba,Oncativo,Belgrano 941,-31.9151342,-63.6792335
Día,Capital Federal,Constitución,Av. Independencia 838/840,-34.6176358,-58.3813232
Día,Buenos Aires,Pergamino,Av. Julio A. Roca 281,-33.8963634,-60.5627776
Día,Capital Federal,Mataderos,Cl. Juan Bautista Alberdi 5925,-34.6622062,-58.5180024
Día,Capital Federal,Villa Urquiza,Av. Álvarez Thomas 3210,-34.5713261,-58.4836957
Día,Capital Federal,Palermo,Báez 222/224,-34.572215,-58.430858
Día,Santa Fe,Santo Tomé,Rivadavia 1871,-31.6638222,-60.7634935
Día,Entre Ríos,Gualeguay,San Antonio esquina Dr. J. H. Pagola,-33.1504259,-59.3106789
Día,Capital Federal,Palermo,Av. Santa Fe 5222,-34.5761235,-58.4333369
Día,Salta,Salta,Brown 70,-25.3278578,-64.0053137
Día,Capital Federal,Parque Chacabuco,Cobo 1477,-34.6423174,-58.4358704
Día,Buenos Aires,Santos Lugares,Rodríguez Peña 1355,-34.5974443,-58.5423693
Día,Buenos Aires,Villa Bosch,Santos Vega 5848,-34.5866435,-58.5768795
Día,Capital Federal,La Boca,Martín Rodríguez 1176,-34.6386578,-58.3585753
Día,Capital Federal,Caballito,Guayaquil 887,-34.6217585,-58.4404884
Día,Salta,Salta,Ejército Argentino y Batalla de Salta,-24.7892946,-65.4103194
Día,Capital Federal,Villa Luro,Directorio 4724,-34.6362602,-58.5020915
Día,Capital Federal,Constitución,Av. Bernardo de Irigoyen 1518,-34.6263037,-58.3787101
Día,Buenos Aires,San Antonio de Areco,Avenida Smith 348,-34.240951,-59.4677213
Día,Buenos Aires,General Madariaga,Sarmiento esq. Maistegui 1400,-36.9952343,-57.1369265
Día,Buenos Aires,Ingeniero Adolfo Sourdeaux,Presidente Derqui 1164,-34.5008046,-58.6601462
Día,Santa Fe,Funes,Angelomé 2066,-32.9206999,-60.812779
Día,Capital Federal,Belgrano,Av. Libertador 6144,-34.555463,-58.4490046
Día,Capital Federal,CABA,Virrey Cevallos 341,-34.6129857,-58.3890182
Día,Capital Federal,Almagro,Quintino Bocayuva 352,-34.6163194,-58.4227348
Día,Capital Federal,Chacarita,Av. Dorrego 1034/36,-34.589254,-58.4461839
Día,Buenos Aires,El Jagüel Pdo. Esteban Echeverría,Cl. Evita 354,-34.6037,-58.3816
Día,Capital Federal,Parque Patricios,La Rioja 1850,-34.632479,-58.406
Día,Capital Federal,Villa General Mitre,Av. San Martín 3172/74/80,-34.6103098,-58.4693142
Día,Capital Federal,Almagro,Av. Independencia 3311,-34.6205408,-58.4128037
Día,Buenos Aires,El Palomar,Cap. Claudio Rosales 1549,-34.6225227,-58.595568
Día,Buenos Aires,Longchamps,Cl. Rivadavia 1495,-34.8518631,-58.3759866
Día,Capital Federal,Belgrano,Vidal 2463/69,-34.5629703,-58.4613944
Día,Capital Federal,San Nicolás,Sarmiento 814,-34.6047921,-58.3782291
Día,Capital Federal,Núñez,Av. Crámer 3226,-34.5548984,-58.4700754
Día,Capital Federal,Saavedra,Crisólogo Larralde 3012,-34.5521419,-58.4736879
Día,Buenos Aires,Lomas del Mirador,Cl. Brig. Gral. Don J. M. de Rosas 945,-34.663145,-58.5288492
Día,Capital Federal,Barracas,Av. Regimiento de Patricios 795,-34.6372762,-58.3698318
Día,Capital Federal,Floresta,Av. Segurola 1438,-34.6237903,-58.4948889
Día,Capital Federal,Parque Chacabuco,La Plata 1976,-34.6284963,-58.4264201
Día,Buenos Aires,Bernal,Belgrano 388,-34.7150734,-58.2767022
Día,Capital Federal,Chacarita,Av. Corrientes 6180,-34.5920163,-58.447425
Día,Capital Federal,Villa Lugano,Montiel 3829,-34.6765725,-58.4934061
Día,Capital Federal,Flores,Pedernera 280,-34.6324755,-58.4626138
Día,Capital Federal,Colegiales,Cabildo 1168,-34.5687567,-58.4477297
Día,Capital Federal,Recoleta,Azcuénaga 1902,-34.587656,-58.3952261
Día,Buenos Aires,San Andrés,San Lorenzo (N° 91) 2956,-34.5727689,-58.5439849
Día,Buenos Aires,Laferrere,Cl. Magnasco 3147,-34.7479743,-58.5882934
Día,Jujuy,Jujuy,Av. Olavarría 390,-24.1977535,-65.3095564
Día,Corrientes,Paso de la Patria,Rioja 560,-27.3178756,-58.5716285
Día,Buenos Aires,General Rodríguez,Blvd. Bro. de Irigoyen 1326,-34.6082302,-58.9522206
Día,Capital Federal,Villa Urquiza,Av. Triunvirato 4933,-34.5726678,-58.4882576
Día,Capital Federal,Palermo,Jerónimo Salguero 3044,-34.5772886,-58.4056692
Día,Capital Federal,Vélez Sarsfield,Av. Rivadavia 8875,-34.6353955,-58.4890029
Día,Capital Federal,Boedo,La Plata 1216,-34.626968,-58.426404
Día,Buenos Aires,Lobería,Cl. Suárez García 101,-38.1580928,-58.7856101
Día,Buenos Aires,Castelar,Av. Gdor. Inocencio Arias 2983,-34.6555638,-58.6425128
Día,Capital Federal,Villa Lugano,Av. Riestra 5726,-34.6775667,-58.4754076
Día,Buenos Aires,Benavidez,Av. Alvear 2939,-34.4214117,-58.7072104
Día,Capital Federal,Belgrano,Ciudad de la Paz 1984,-34.563817,-58.4567437
Día,Corrientes,Goya,España 347,-29.1452691,-59.2626121
Día,Capital Federal,Villa Crespo,Argañaraz 25,-34.5932867,-58.4480481
Día,Capital Federal,Palermo,Humboldt 1574,-34.5858241,-58.4366246
Día,Buenos Aires,Ezeiza,Cl. Guillermo Gaddini 109,-34.8168141,-58.5474234
Día,Capital Federal,Constitución,Av. Brasil 1661,-34.6288714,-58.3888132
Día,Entre Ríos,Federal,Hipólito Yrigoyen 1140,-30.9474893,-58.7751421
Día,Capital Federal,Villa Soldati,Mariano Acosta 3552,-34.6653652,-58.4425589
Día,Buenos Aires,Caseros,San Martín 2146,-34.6017133,-58.5616831
Día,Capital Federal,Balvanera,24 de Noviembre 53,-34.6112764,-58.4117705
Día,Capital Federal,Lugano,Zelarrayán 5751,-34.6743534,-58.4799833
Día,Buenos Aires,Tres de Febrero,De Los Aromos 6194,-34.6037422,-58.5937465
Día,Capital Federal,Villa Ortúzar,Av. de Los Incas 4355,-34.5803527,-58.4729707
Día,Capital Federal,San Cristóbal,Av. San Juan 2641,-34.6235608,-58.4015922
Día,Buenos Aires,Palomar,Misiones 6458,-34.6053398,-58.5926273
Día,Buenos Aires,La Plata,Calle 63 2085,-34.9416839,-57.958211
Día,Capital Federal,San Nicolás,Viamonte 1535,-34.6006146,-58.3886593
Día,Buenos Aires,Bolívar,Av. Alsina 651,-36.2301117,-61.1122667
Día,Capital Federal,CABA,Corrales 3020,-34.6623237,-58.4397638
Día,Buenos Aires,Matheu,S. Melo e/ S. Martín y Belgrano,-34.3828026,-58.8297517
Día,Buenos Aires,Olivos,Gobernador Ugarte 2450,-34.5137601,-58.4906292
Día,Capital Federal,Almagro,Sarmiento 3978,-34.6050188,-58.420826
Día,Capital Federal,Caballito,Guayaquil 264,-34.6200708,-58.4323287
Día,Capital Federal,Monserrat,Moreno 1333,-34.6121394,-58.3852592
Día,Buenos Aires,Trenque Lauquen,Mitre 56,-35.971264,-62.7324004
Día,Capital Federal,Flores,Avellaneda 2102,-34.6231501,-58.4612593
Día,Entre Ríos,La Paz,San Martín 1320,-30.7450863,-59.6445542
Día,Capital Federal,Belgrano,Av. Monroe 2442,-34.5639902,-58.4691126
Día,Capital Federal,Flores,Av. Juan B. Justo 5409,-34.6290748,-58.4634771
Día,Capital Federal,La Boca,20 de Septiembre 341,-34.6297709,-58.3629051
Día,Capital Federal,Belgrano,Rawson 26,-34.612958,-58.3776468
Día,Capital Federal,CABA,San José 1141,-34.6223517,-58.3852048
Día,Capital Federal,Palermo,Beruti 3434,-34.5863713,-58.4109955
Día,Capital Federal,CABA,Fernández de la Cruz 1499,-34.6476452,-58.428402
Día,Capital Federal,Villa Ortúzar,Avenida Triunvirato 3791,-34.5806951,-58.4746289
Día,Buenos Aires,Los Polvorines,Gral. San Martín 2669,-34.5106413,-58.699072
Día,Capital Federal,Parque Avellaneda,Medina 715,-34.6423191,-58.4865366
Día,Buenos Aires,Lomas de Zamora,Cl. Santa Fe 500,-34.7534775,-58.4205513
Día,Capital Federal,Parque Avellaneda,Av. Lacarra 574,-34.6401134,-58.481291
Día,Entre Ríos,Paraná,Banda Oriental 757,-31.7615957,-60.5110857
Día,Capital Federal,Chacarita,Córdoba 6075,-34.583885,-58.4459334
Día,Buenos Aires,25 de Mayo,Cl. Calle 9 y Calle 32 1300,-35.4324152,-60.171624
Día,Corrientes,Curuzú Cuatiá,Rivadavia 646,-29.7913046,-58.0551973
Día,Capital Federal,Colegiales,Av. Elcano 3521,-34.5771233,-58.4600655
Día,Capital Federal,Parque Chacabuco,José María Moreno 1654,-34.6375604,-58.4318407
Día,Capital Federal,San Nicolás,Sarmiento 1282,-34.6054869,-58.3900689
Día,Capital Federal,CABA,Av. Alberdi 5655,-34.6500698,-58.5010698
Día,Buenos Aires,Isidro Casanova,Cl. Cristianía 1400,-34.7337011,-58.5532264
Día,Entre Ríos,Rosario del Tala,Ramírez 21,-32.3017841,-59.1385429
Día,Buenos Aires,El Talar,Hipólito Yrigoyen 1973,-34.4687577,-58.6504118
Día,Capital Federal,CABA,Bolívar 306,-34.611491,-58.3733237
Día,Buenos Aires,Virrey del Pino,Cl. Río de la Plata 7431,-34.8229423,-58.621446
Día,Buenos Aires,Adrogué,Cl. Seguí 750,-34.8129937,-58.4219782
Día,Capital Federal,Belgrano,Av. Ricardo Balbín 2519,-34.5619788,-58.4666612
Día,Capital Federal,San Telmo,Av. Almirante Brown 154,-34.6214013,-58.37375
Día,Buenos Aires,Roque Pérez,Av. Mitre e Hipólito Yrigoyen 1183,-35.3964431,-59.3312128
Día,Capital Federal,Villa Pueyrredón,Avenida Nazca 4821,-34.5810806,-58.4936593
Día,Jujuy,Perico,Av. San Martín 310,-24.3778403,-65.1210918
Día,Capital Federal,Villa Real,Lope de Vega 2159,-34.617437,-58.5205764
Día,Capital Federal,Villa Ortúzar,Av. Álvarez Thomas 1520,-34.5785789,-58.4635526
Día,Capital Federal,CABA,Av. Leandro N. Alem 432,-34.6026699,-58.370574
Día,Buenos Aires,Ciudad Evita,Av. Presidente Perón 2236,-34.7176772,-58.5295556
Día,Capital Federal,CABA,Mario Bravo 275,-34.6073588,-58.4172933
Día,Buenos Aires,Berisso,Cl. Montevideo 1020,-34.8648354,-57.8920115
Día,Capital Federal,Monserrat,Suipacha 715/719/723/729,-34.6115595,-58.3841265
Día,Capital Federal,Belgrano,Av. Monroe 1911,-34.5625705,-58.4670062
